job_id,parent_id,url,sub_job_id,routing_key,recorded_throughput
bc57e6d1-9c8c-4893-944c-6d99c26b4e83,bc57e6d1-9c8c-4893-944c-6d99c26b4e83,https://ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com/test.zip,d0083a86-4808-4e19-98d9-af595eb158ba,us_east,38573.25574786522
e6883fc1-6834-445a-ad91-aaa669cde560,e6883fc1-6834-445a-ad91-aaa669cde560,https://ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com/test.zip,0c345b43-8769-4a48-8056-2b83ecb1cf7e,us_east,38488.26256878142
b1ea0b1e-9395-4a5f-b309-a82bb841d6e6,b1ea0b1e-9395-4a5f-b309-a82bb841d6e6,https://ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com/test.zip,ca211a76-9a8a-437d-9045-15c26eca0543,us_east,38438.0352851433
b1ea0b1e-9395-4a5f-b309-a82bb841d6e6,b1ea0b1e-9395-4a5f-b309-a82bb841d6e6,https://ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com/test.zip,33799a78-2fee-41dd-9f31-9f93bf6f4f2a,us_east,30742.66970839122
bc57e6d1-9c8c-4893-944c-6d99c26b4e83,bc57e6d1-9c8c-4893-944c-6d99c26b4e83,https://ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com/test.zip,4e460163-81d4-412f-9c8d-928cfb6b35e9,us_east,30741.89701035853
e6883fc1-6834-445a-ad91-aaa669cde560,e6883fc1-6834-445a-ad91-aaa669cde560,https://ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com/test.zip,aaa15a80-6164-44d5-ba33-a020cc097906,us_east,29552.81541306702
dc97e2f8-d1ae-4119-9d6f-bc4ea1e0a4a0,dc97e2f8-d1ae-4119-9d6f-bc4ea1e0a4a0,https://ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com/test.zip,1f679ce0-7f2c-4c81-b44d-ec7f765544ad,us_east,15328.092441879846
dc97e2f8-d1ae-4119-9d6f-bc4ea1e0a4a0,dc97e2f8-d1ae-4119-9d6f-bc4ea1e0a4a0,https://ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com/test.zip,1425dadb-d6a0-4f2a-941f-31b93b5dacb9,us_east,12196.087841218692
109e43f4-dc51-44df-8ce6-591ec169a130,109e43f4-dc51-44df-8ce6-591ec169a130,https://ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com/test.zip,68bc358f-de47-4166-bc82-fe7992c054cd,us_east,7742.334560757406
7ef16b49-a940-4b03-ba4b-d49f1bbaf599,7ef16b49-a940-4b03-ba4b-d49f1bbaf599,https://ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com/test.zip,f24e565e-ec26-45fe-94c3-9f11d9ccd597,us_east,7681.1740021724745
81b009b0-0923-46a8-a144-17e1af44a5f0,81b009b0-0923-46a8-a144-17e1af44a5f0,https://ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com/test.zip,acf21916-af95-4ac5-ba6b-5f1fc7f0ed21,us_east,7679.348679982002
