id,total_bytes,elapsed_seconds
fb5f5b04-6d75-4ccb-b40a-80142bde8a67,1625456,1.793599
6988371a-a726-410d-81ef-fd22528b3e2d,83093480,2.141
ddea949b-6ed9-478d-b55e-c0f42d037d5d,104272120,8.912
5ff8f49b-108a-4e37-b347-fb6131e34b9a,6840801,2.650359
b91b634a-fe96-42da-a539-6f1ba5fe66ea,52661960,8.033258
1a9e34d9-1e51-40c9-8bc6-d4cd635fb933,83211863,2.366
a284911b-2e5f-48be-82ba-7ba0b3e36ff9,85706447,1.04
68bc358f-de47-4166-bc82-fe7992c054cd,82610479,1.07
a8c391d3-767a-46d3-a6fc-7f5ab43749d4,98252512,17.005
fcdd8b6c-1e1d-4714-87ba-dbbe94bbfe46,2750550,18.320209
43ee8332-acdb-465f-be2d-c2779979d1af,3255902,14.994956
21bf35ec-94e3-48f4-ba8b-30fef1983681,89105542,5.358
bafa95e1-0d90-4f71-aa04-0e1ea092462e,8568614,6.901072
879d1cb2-9800-4663-a9b6-4aa27d92815a,42291086,14.614262
7740ad43-21c7-464e-b7f9-fcd63e3621d8,104839176,6.635
bdf27886-2456-4282-9e3d-f02f911d58d8,12534684,6.907373
853a7f44-64ed-4e31-8a47-80cb2c366ede,12119108,13.726537
a192ef38-c4d5-4603-a760-4fe8e91ed922,104647756,27.306
12b6557c-e473-40d7-ade5-d3367a0aa177,4281084,27.419378
47e9c760-e666-4bc5-af42-1738748f8da5,33155652,25.515892
95c4cf1e-bcef-4741-975e-695f98ee60d1,99956236,22.793
3080b738-1c85-4c6c-809b-be45244f8ba5,1111412,20.42221
0296a273-bc4e-4992-8ad1-1fdc086001e3,5326540,22.502429
afed5747-f08f-4eac-ad96-6b077ed5d7dc,103732620,48.696
8cddc791-66ca-4ef9-83b2-a3893496efdd,27926924,33.451412
2bcc34d1-4ce0-42b4-ba37-a93ba7b1f881,52480660,43.998779
4332d13b-86ad-4d68-9460-3d2498a766ad,102565288,12.302
61961d34-5b1d-417d-bc3a-d2f9f5cf45d9,14811848,33.094919
20974f9e-030d-402b-9e9f-49753a82ed3b,13716252,36.151243
9aedf7f8-e0be-4459-b2ae-5acd414696b8,96077224,10.441
517f317f-7108-48be-99a6-78118eb16adb,91940464,50.334737
34820c9a-83fe-41b1-9498-00c0e5958382,80321608,60.637
dee3e350-1c08-4150-b67a-062a1a19462c,101142320,6.158
160543cb-51ef-4ac9-b61a-754451a72ad7,101724904,60.328
f29e8aee-381f-4744-a0a1-39014c6c5e66,86733088,60.601
20df1720-4440-400e-8515-22ad2d239b43,103961406,30.488
7d081531-e10c-4046-887b-c16f904fa491,93131814,55.09938
2be9eb4c-88c6-4127-86d1-d236b75d106b,58042430,52.777711
ae7c1df7-4ccd-4990-81e7-27102ae80c58,98960014,30.415
ba90e1fc-bade-4c4f-bdf9-1980da6ab1ec,84846358,45.317026
a8e99a2b-f45a-475f-8226-c23139d72606,60834174,56.43699
