id,total_bytes,elapsed_seconds
ee3127c1-4113-4da0-a57c-dc80b1f49d2e,102105088,59.026
451b4d52-d6bb-4a18-95d0-5ca00c60a2c6,479019008,59.021
b235412f-ba0b-4874-a638-e30c1c1abc3a,575832064,59.046
f4bf668e-24fc-46ef-816c-765d0453c408,93061120,6.688
e2b9f506-f892-4df4-8920-eaebd4e29936,145129472,0.681513
fe870dd3-4fa7-4553-8233-5055ddd2d242,307167232,2.16357
e8ee33a5-777f-48f9-b116-6d5b89800cfe,58086748,57.671996
f388d0bb-eb0e-4191-b23a-9dbfbd6b27b6,70699772,57.199803
5facdd7d-043b-4778-bb3c-1e5dd742866e,92083522,7.632999999999999
b3df2c8e-7c7e-4920-ad02-fbc32d15a318,761556448,6.947255
4ab1c67f-0fef-4f58-9b69-1bd4a602f8ed,848367998,6.984706
5d48b120-8b3e-484c-bee0-c80a8f58e5b0,98129514,7.1899999999999995
303979f8-7f32-49cf-a6de-29e1e2576b86,759195256,7.851000000000001
9cfebe39-6b65-4e82-b09a-b027a777f2fc,968718644,7.016114999999999
d835600e-9215-4641-9ed0-50a9b11c926a,102740684,7.055999999999999
2f031337-e8ab-4676-96f1-bea5d72c80c1,637053456,6.816847
5ac2a361-c4f0-4522-9892-76e64fa473cd,730799396,7.447668
2d6ef7a6-0091-4c1e-b53e-477f4861d265,8256608,59.001
eb61b42c-9562-4944-9295-14430b0cb274,7940832,56.796509
0ef08a46-d69c-4963-8617-fa7f0a8d4b2a,7858296,56.589095
ee9c3821-c510-47f6-82ce-94f94c1ebf7f,100989530,15.542000000000002
e1f60c6a-4b85-40f2-8ca4-eb6f01e2a5d7,526686086,24.571757
5bc2adc2-457a-48a9-8463-34769d8d17c0,586101990,20.028033
4a80aa64-dde0-4323-b9e8-7222328b2cbf,8108816,59.054
c8d60616-9848-4ca4-b81a-b9f78e9b6d17,7821200,56.289121
3a28f1cc-a632-4240-ac85-7f87e4f0a157,7904280,55.638341
