sub_job_id,mean_bps,max_bps,median_bps,p90_max_bps
02844f7a-7290-49ee-9809-c0b6af6c8ae5,12213674.722189879,16996736.0,12206160.0,14905440.0
03b9a246-32ef-4d0e-951c-418ecf2850ed,62906999.84496096,172945368.0,32494070.5,152893192.0
042cf651-d5e7-4e53-8808-36cb94f93fc0,1390484.846597316,2798008.0,1359260.0,2199164.0
05d0a4cf-b8f5-4a5d-8036-19f2630e47b0,131157.58645719755,1244866.0,113668.0,210758.0
05e81d10-ea99-46c5-9856-54482b14ddcf,8335262.40063593,13434880.0,10715136.0,11714560.0
0827d378-0c4c-4af9-9fa6-5a330ba98c97,92020715.84036176,161857536.0,76808192.0,120242176.0
0890c051-ba3b-4b3a-9bdf-41fcc88c743c,130804.96608305568,408336.0,132492.0,251952.0
0a24427b-64cc-43b0-b525-529cce258e6c,19562707.123369895,38270640.0,18007328.0,30132880.0
0b063801-4312-4ae8-83dd-e317702afbcf,135409.25471910287,478016.0,112944.0,242808.0
0d68e0f4-0fb0-47af-9444-240532ea6a05,217228675.58226064,292296477.0,221126020.0,250155197.0
0dda668f-7681-4e7a-af57-caafca5f69b6,144901.3154364592,593640.0,122356.0,251952.0
10619138-f294-420b-b387-1f510da29e5a,3137773.7366155316,5726360.0,3075732.0,4240408.0
114e3e17-1cc1-4189-9350-8d8b23a568d0,10382775.663288452,19736280.0,10015092.0,15495296.0
11af8522-5620-46ed-8421-7053249ba359,6952831.141013505,21617688.0,5573340.0,11755128.0
128b1da1-12db-4085-840a-8a87c486454e,136739.8440714845,520718.0,130320.0,246160.0
15fd166e-bf23-49c2-9d5c-fd07b55e3b43,124281.28550004799,609348.0,177380.0,344624.0
16c29ef3-f51c-4c8b-a726-32e0bd8de72e,58596152.239809394,157830552.0,30945208.0,142614968.0
16dcbb2a-03ef-4ae8-9195-8e2bf6299f8f,241820912.74517778,291223171.0,255209004.5,264665244.0
19765f0e-cb5e-4c73-8dde-e1c419eb8d84,147477.053837607,1277840.0,153488.0,428072.0
198bbd0b-afe9-41b9-a714-09d8f773b30a,29229629.51019252,49647024.0,28043416.0,43168328.0
1a3761e3-991c-41ae-8d59-7e06104019b4,136408.2682240608,568248.0,120908.0,240368.0
1bfbdcc8-25ec-4989-a764-172d5792eb49,216543159.64919364,360622219.0,138204129.0,259823328.0
1d4904ce-c854-45bc-a9cb-a4111fd954d3,4748694.81539757,18105848.0,4801728.0,9759520.0
1ddacce1-fc4f-45d7-aef0-f53c972caf5c,396930337.8460932,288920992.0,253734210.0,218547428.0
210c79e9-f8db-48a7-ad72-414605ca7f90,3032070.7674560896,9459784.0,3215284.0,5309816.0
21623201-f500-42af-8b23-7e03c641176e,106113461.27563432,165563712.0,101210856.0,151752704.0
21b95281-18e7-45df-814b-70635dc55764,21218756.033590715,44675232.0,19993260.0,28185320.0
227632d6-329d-4776-a810-a1d83d25f8df,132993.78861963225,1288172.0,110772.0,225888.0
22b23c8d-cf13-44c6-99c0-f6da535d7c30,94619994.44893932,150637824.0,124883560.0,143401536.0
23573a99-b1bb-4faa-95ef-f68ba1972596,28915741.837085865,54239794.0,29193852.0,39725080.0
236adce9-d8f8-4aa6-b325-f320c0b35e71,11697912.40611264,18795040.0,11305984.0,15471480.0
23877fa4-56b9-4043-aa3e-1d52c266a0fa,118057772.03450447,156771194.0,130275293.0,153648670.0
25518521-3908-4be7-b6e8-cbbb3db73b7d,100032608.75065966,145670144.0,87998464.0,128237568.0
26382a1c-6b65-4f6a-8a58-b20188142f1b,1000220336.3198947,821579844.0,821579844.0,821579844.0
279096a6-8f5a-47ea-99ea-fd755443bb63,10184027.272871487,21495720.0,9312812.0,15388060.0
2985aa49-a121-4450-bb65-431df00dfffc,15693364.967119664,33972712.0,14510408.0,24943248.0
2b88623f-4cb0-4497-802f-fb7564849547,1002701628.0797893,557469558.0,557469558.0,557469558.0
2c1b76dd-520f-47b1-bced-b4930b66f6b3,879707.4687659794,2034588.0,827820.0,1454160.0
2f4843a9-099f-44b2-a8e9-8e62b17770a9,8555613.658616187,9699328.0,9076736.0,9453568.0
2f9a98c9-b209-45b7-a10e-dd29248c9782,31631252.187028658,41156608.0,20905984.0,20905984.0
300af3e0-149b-4b05-804c-141a221e22ad,144744.86480360094,661334.0,121632.0,326912.0
312a0365-7d2b-45f0-add0-11c4a0e7a22c,142451.6091709063,602768.0,127424.0,249760.0
316fb96f-c43e-43e7-bbaf-d853c61f41c1,153924.0901414302,1639636.0,169488.0,473496.0
33f37e53-d6ec-4cb6-a7b4-da852b28a58f,136926.27307581593,430808.0,126700.0,237472.0
38f82f7a-4230-47b8-a84e-266bb4c09998,127466.93485334958,869826.0,119782.0,215350.0
39c39f47-c73d-4d2a-9751-a63ea8e105c4,135368.35028786838,1237212.0,119460.0,224856.0
3f294494-3fe7-47fd-8f2a-f15a536fc8da,12247345.660938948,19579856.0,11921384.0,16355160.0
4083e653-1fcc-40c4-8a71-9f9a12d0287c,94600646.07887533,159498285.0,88471990.5,148201952.0
423380c4-2a5a-43c5-9b36-7f47343f54a7,138324.14608483567,591508.0,118736.0,247608.0
498d2432-ba1a-411c-be6b-530cd9af24e2,8271388.738141471,15596176.0,8112860.0,11387816.0
4b1335a8-ea18-4722-976c-eb6d5b59109b,93423502.2107443,158890488.0,87671013.0,148885944.0
4c35d901-992b-4e79-82c9-821ff63c79fc,49393486.26978799,81428480.0,46342144.0,59916288.0
4dc5f42f-8962-4831-a828-b021123d7b02,143980.67410997069,999232.0,120184.0,333014.0
4e631cda-0ce6-41af-a997-a6a36f80b79a,10463634.7679045,40987740.0,15796448.0,29836884.0
