subjob_id,failed_percentage
02844f7a-7290-49ee-9809-c0b6af6c8ae5,100.0
0296a273-bc4e-4992-8ad1-1fdc086001e3,40.0
03b9a246-32ef-4d0e-951c-418ecf2850ed,0.0
042cf651-d5e7-4e53-8808-36cb94f93fc0,100.0
05d0a4cf-b8f5-4a5d-8036-19f2630e47b0,100.0
05e81d10-ea99-46c5-9856-54482b14ddcf,0.0
0827d378-0c4c-4af9-9fa6-5a330ba98c97,0.0
0890c051-ba3b-4b3a-9bdf-41fcc88c743c,100.0
09f62e91-9705-464e-820b-827ac9983032,90.0
0a24427b-64cc-43b0-b525-529cce258e6c,20.0
0b063801-4312-4ae8-83dd-e317702afbcf,100.0
0c345b43-8769-4a48-8056-2b83ecb1cf7e,0.0
0c83fb84-1ada-4629-a142-6e5a648e5df8,100.0
0d39341d-f7d8-42cb-ae20-aecb1c183be6,100.0
0d68e0f4-0fb0-47af-9444-240532ea6a05,0.0
0d7afd25-323b-4832-8626-df72dc3f9b3f,0.0
0dda668f-7681-4e7a-af57-caafca5f69b6,100.0
0ef08a46-d69c-4963-8617-fa7f0a8d4b2a,100.0
10619138-f294-420b-b387-1f510da29e5a,100.0
114e3e17-1cc1-4189-9350-8d8b23a568d0,100.0
11af8522-5620-46ed-8421-7053249ba359,100.0
128b1da1-12db-4085-840a-8a87c486454e,100.0
12b6557c-e473-40d7-ade5-d3367a0aa177,12.5
1311eb85-8f3c-46a3-a503-5402de4215c0,0.0
1425dadb-d6a0-4f2a-941f-31b93b5dacb9,0.0
15fd166e-bf23-49c2-9d5c-fd07b55e3b43,100.0
160543cb-51ef-4ac9-b61a-754451a72ad7,100.0
16c29ef3-f51c-4c8b-a726-32e0bd8de72e,0.0
16dcbb2a-03ef-4ae8-9195-8e2bf6299f8f,0.0
17d14387-f757-4734-9211-5c9c08567a27,0.0
18ed96cd-946f-4f44-b0b1-161ca3398a12,100.0
19765f0e-cb5e-4c73-8dde-e1c419eb8d84,100.0
198bbd0b-afe9-41b9-a714-09d8f773b30a,0.0
19e0ce5e-afea-43e8-86c6-2626302371c0,70.0
1a3761e3-991c-41ae-8d59-7e06104019b4,100.0
1a50dc56-eb14-4af2-a734-92eacf473633,100.0
1a9e34d9-1e51-40c9-8bc6-d4cd635fb933,0.0
1bfbdcc8-25ec-4989-a764-172d5792eb49,0.0
1d4904ce-c854-45bc-a9cb-a4111fd954d3,100.0
1ddacce1-fc4f-45d7-aef0-f53c972caf5c,0.0
1eda0c49-cd51-42ba-ba24-29570a3ec9ab,0.0
1f679ce0-7f2c-4c81-b44d-ec7f765544ad,0.0
205c37a1-b5f3-4cce-8a0a-7f4d30dc7996,0.0
20974f9e-030d-402b-9e9f-49753a82ed3b,50.0
20df1720-4440-400e-8515-22ad2d239b43,0.0
210c79e9-f8db-48a7-ad72-414605ca7f90,100.0
21623201-f500-42af-8b23-7e03c641176e,0.0
21b95281-18e7-45df-814b-70635dc55764,0.0
21bf35ec-94e3-48f4-ba8b-30fef1983681,0.0
227632d6-329d-4776-a810-a1d83d25f8df,100.0
22b23c8d-cf13-44c6-99c0-f6da535d7c30,0.0
23573a99-b1bb-4faa-95ef-f68ba1972596,10.0
236adce9-d8f8-4aa6-b325-f320c0b35e71,90.0
23877fa4-56b9-4043-aa3e-1d52c266a0fa,0.0
25518521-3908-4be7-b6e8-cbbb3db73b7d,0.0
26382a1c-6b65-4f6a-8a58-b20188142f1b,0.0
279096a6-8f5a-47ea-99ea-fd755443bb63,100.0
284b9774-a23b-4510-be2f-b392ccdd8818,0.0
2985aa49-a121-4450-bb65-431df00dfffc,80.0
29e8616c-ab31-4c49-89f2-b014f89dad61,0.0
2b88623f-4cb0-4497-802f-fb7564849547,0.0
2bcc34d1-4ce0-42b4-ba37-a93ba7b1f881,20.0
2be9eb4c-88c6-4127-86d1-d236b75d106b,90.0
2c1b76dd-520f-47b1-bced-b4930b66f6b3,100.0
2c5394ba-3720-4350-9c93-274598b4eb23,0.0
2d6ef7a6-0091-4c1e-b53e-477f4861d265,100.0
2f031337-e8ab-4676-96f1-bea5d72c80c1,0.0
2f4843a9-099f-44b2-a8e9-8e62b17770a9,0.0
2f9a98c9-b209-45b7-a10e-dd29248c9782,0.0
300af3e0-149b-4b05-804c-141a221e22ad,100.0
303979f8-7f32-49cf-a6de-29e1e2576b86,0.0
3080b738-1c85-4c6c-809b-be45244f8ba5,12.5
312a0365-7d2b-45f0-add0-11c4a0e7a22c,100.0
316fb96f-c43e-43e7-bbaf-d853c61f41c1,100.0
32ac6926-9a00-42c6-a7ec-25e90c42d56c,0.0
33799a78-2fee-41dd-9f31-9f93bf6f4f2a,0.0
33f37e53-d6ec-4cb6-a7b4-da852b28a58f,100.0
34820c9a-83fe-41b1-9498-00c0e5958382,100.0
36ecf46d-7042-4d2a-b4e5-b15756bb7cf1,0.0
38d29936-d9d1-4f8a-a321-87e6026797d9,100.0
38f82f7a-4230-47b8-a84e-266bb4c09998,100.0
39c39f47-c73d-4d2a-9751-a63ea8e105c4,100.0
3a28f1cc-a632-4240-ac85-7f87e4f0a157,100.0
3f294494-3fe7-47fd-8f2a-f15a536fc8da,90.0
4083e653-1fcc-40c4-8a71-9f9a12d0287c,0.0
40ac1472-e8b4-4741-a40a-ad038c79b216,0.0
423380c4-2a5a-43c5-9b36-7f47343f54a7,100.0
4332d13b-86ad-4d68-9460-3d2498a766ad,0.0
43ee8332-acdb-465f-be2d-c2779979d1af,30.0
47e9c760-e666-4bc5-af42-1738748f8da5,50.0
498d2432-ba1a-411c-be6b-530cd9af24e2,100.0
4a80aa64-dde0-4323-b9e8-7222328b2cbf,100.0
4ab1c67f-0fef-4f58-9b69-1bd4a602f8ed,0.0
4b1335a8-ea18-4722-976c-eb6d5b59109b,0.0
4c35d901-992b-4e79-82c9-821ff63c79fc,0.0
4dc5f42f-8962-4831-a828-b021123d7b02,100.0
4e460163-81d4-412f-9c8d-928cfb6b35e9,0.0
4e631cda-0ce6-41af-a997-a6a36f80b79a,100.0
517b14a6-e014-49e5-815b-9aee535c6f3c,100.0
517f317f-7108-48be-99a6-78118eb16adb,0.0
