Throughput Range (Mbps),% Plateau at 10MB,% Plateau at 50MB,% Plateau at 100MB,Total Subjobs in Bin
0–50,35.294117647058826,17.647058823529413,0.0,17
50–100,70.0,40.0,30.0,10
100–200,20.0,100.0,100.0,10
200–300,33.333333333333336,100.0,100.0,3
300–400,0.0,50.0,50.0,2
400–500,0.0,100.0,0.0,1
500+,0.0,0.0,0.0,2
